"Date","Variable","Impact","Sector"
2021-01-01,"Total Gross Income Tax Division",5.70832101770627e-05,"personal_labor_income_taxes"
2021-01-01,"Total refunds from the Income Tax Department",-4.96730733330996e-05,"personal_labor_income_taxes"
2021-01-01,"Deductions and the capital market",-5.30452395935402e-06,"personal_labor_income_taxes"
2021-01-01,"Deduction from salary",-1.40927470900695e-05,"personal_labor_income_taxes"
2021-01-01,"Independents advances",-0.000282890801361053,"personal_labor_income_taxes"
2021-01-01,"Self-employed tax differences",-0.000129143458684929,"personal_labor_income_taxes"
2021-01-01,"Independent Cancellations",3.29790382538685e-05,"personal_labor_income_taxes"
2021-01-01,"Capital Gains Tax Refunds",4.53859447995557e-06,"personal_labor_income_taxes"
2021-01-01,"VAT Financial Institutions (Salary)",-4.8845781939887e-05,"personal_labor_income_taxes"
2021-01-01,"Non-profit institution tax",7.85177248978292e-05,"personal_labor_income_taxes"
2021-01-01,"Companies advances",2.88038007374396e-05,"corporate_business_tax"
2021-01-01,"tax differential companies",6.33958515604653e-05,"corporate_business_tax"
2021-01-01,"Cancellation companies",8.31669100255766e-07,"corporate_business_tax"
2021-01-01,"Income tax for self-employed individuals and companies (advances and deductions)",7.85024451386574e-05,"corporate_business_tax"
2021-01-01,"excess expenses",2.35753489942885e-05,"corporate_business_tax"
2021-01-01,"Bonds and dividends",1.23873588856218e-05,"corporate_business_tax"
2021-01-01,"Cancellations Deductions",2.66218580198709e-05,"corporate_business_tax"
2021-01-01,"Goods and services",-2.72981773173551e-06,"corporate_business_tax"
2021-01-01,"Gross local VAT",-3.94159202545781e-05,"consumption_tax"
2021-01-01,"VAT refund autonomy and traders",-2.68263538174756e-05,"consumption_tax"
2021-01-01,"Total net VAT",-0.000262951284264203,"consumption_tax"
2021-01-01,"Net local sales tax",-8.20950542188621e-05,"consumption_tax"
2021-01-01,"Gross fuel tax",0.000231179532200741,"consumption_tax"
2021-01-01,"Gross import VAT",-0.000631049192148234,"import_trade_tax"
2021-01-01,"Net customs",-0.000322067042492482,"import_trade_tax"
2021-01-01,"Total import taxes",-0.000767440007394925,"import_trade_tax"
2021-01-01,"Real estate taxation",4.85879671615672e-05,"real_estate"
