"Variable","Sector","Total Impact","Impact (%)","Relative Share (%)"
"madad_pedio","real_activity","0.001992","+0.1992%","24.71%"
"madad_yetzur_industrial","real_activity","0.001992","+0.1992%","24.71%"
"madad_cc_purchases_sa","real_activity","0.001107","+0.1107%","13.73%"
"madad meshulav","real_activity","0.000697","+0.0697%","8.65%"
"Deductions and the capital market","personal_labor_income_taxes","0.000318","+0.0318%","3.95%"
"Deduction from salary","personal_labor_income_taxes","0.000287","+0.0287%","3.56%"
"Gross fuel tax","consumption_tax","0.000165","+0.0165%","2.05%"
"real salary","labor","0.000131","+0.0131%","1.63%"
"Real estate taxation","real_estate","-0.000114","-0.0114%","1.41%"
"Real estate purchase tax","real_estate","-0.000113","-0.0113%","1.40%"
"Total Gross Income Tax Division","personal_labor_income_taxes","0.000113","+0.0113%","1.40%"
"VAT Financial Institutions (Salary)","personal_labor_income_taxes","0.000099","+0.0099%","1.23%"
"praise tax","real_estate","-0.000094","-0.0094%","1.17%"
"Oil","real_activity","0.000086","+0.0086%","1.06%"
"Total refunds from the Income Tax Department","personal_labor_income_taxes","0.000066","+0.0066%","0.82%"
"TA35","capital_markets","0.000062","+0.0062%","0.77%"
"TA125","capital_markets","0.000057","+0.0057%","0.71%"
"Independents advances","personal_labor_income_taxes","-0.000054","-0.0054%","0.67%"
"Apartments sold at an annual rate","real_estate","0.000049","+0.0049%","0.61%"
"Gross import VAT","import_trade_tax","0.000042","+0.0042%","0.52%"
"Total import taxes","import_trade_tax","0.000040","+0.0040%","0.50%"
"Net customs","import_trade_tax","0.000037","+0.0037%","0.46%"
"excess expenses","corporate_business_tax","0.000037","+0.0037%","0.46%"
"madad_hadash","real_activity","0.000034","+0.0034%","0.42%"
"employment rate","labor","0.000031","+0.0031%","0.39%"
"Non-profit institution tax","personal_labor_income_taxes","0.000027","+0.0027%","0.33%"
"Income tax for self-employed individuals and companies (advances and deductions)","corporate_business_tax","-0.000025","-0.0025%","0.31%"
"Self-employed tax differences","personal_labor_income_taxes","0.000021","+0.0021%","0.26%"
"sp500","capital_markets","0.000019","+0.0019%","0.24%"
"unemployment rate","labor","0.000015","+0.0015%","0.19%"
"Reer","FX_liqudity","0.000014","+0.0014%","0.18%"
"Bonds and dividends","corporate_business_tax","0.000014","+0.0014%","0.18%"
"Goods and services","corporate_business_tax","0.000013","+0.0013%","0.16%"
"Net local sales tax","consumption_tax","0.000012","+0.0012%","0.15%"
"Total net VAT","consumption_tax","-0.000012","-0.0012%","0.15%"
"Apartment Price Index (1993=100) - Mid-period reviewed","real_estate","0.000010","+0.0010%","0.12%"
"Nasdaq","capital_markets","0.000010","+0.0010%","0.12%"
"VAT refund autonomy and traders","consumption_tax","-0.000009","-0.0009%","0.11%"
"purchase returns","real_estate","0.000008","+0.0008%","0.10%"
"Companies advances","corporate_business_tax","0.000008","+0.0008%","0.10%"
"Capital Gains Tax Refunds","personal_labor_income_taxes","0.000006","+0.0006%","0.08%"
"tax differential companies","corporate_business_tax","-0.000006","-0.0006%","0.07%"
"Cancellation companies","corporate_business_tax","0.000006","+0.0006%","0.07%"
"Independent Cancellations","personal_labor_income_taxes","0.000002","+0.0002%","0.03%"
"Property tax","real_estate","-0.000002","-0.0002%","0.02%"
"salaried jobs","labor","0.000001","+0.0001%","0.02%"
"Dollar","FX_liqudity","0.000001","+0.0001%","0.01%"
"cons_trust","real_activity","0.000001","+0.0001%","0.01%"
"Cancellations Deductions","corporate_business_tax","0.000000","+0.0000%","0.00%"
"Foreign exchange reserves (millions of dollars)","FX_liqudity","0.000000","+0.0000%","0.00%"
"Gross local VAT","consumption_tax","0.000000","+0.0000%","0.00%"
