"Variable","Ensemble_Impact","Sector"
"TA125",0.000180375391051529,"capital_markets"
"TA35",0.000179609146171207,"capital_markets"
"Total Gross Income Tax Division",-0.000113085606225599,"personal_labor_income_taxes"
"Nasdaq",0.00011287228951694,"capital_markets"
"sp500",0.000112643894573441,"capital_markets"
"Deductions and the capital market",-0.000101930167491671,"personal_labor_income_taxes"
"Deduction from salary",-9.33059995055108e-05,"personal_labor_income_taxes"
"madad_hadash",-8.30041843395553e-05,"real_activity"
"madad_pedio",-8.26463707735761e-05,"real_activity"
"madad_yetzur_industrial",-8.26463707735761e-05,"real_activity"
"madad_cc_purchases_sa",-8.01950938541751e-05,"real_activity"
"Dollar",-7.53719072284673e-05,"FX_liqudity"
"salaried jobs",-6.86802039130729e-05,"labor"
"Independents advances",-5.99184493931925e-05,"personal_labor_income_taxes"
"Income tax for self-employed individuals and companies (advances and deductions)",-5.67138839949288e-05,"corporate_business_tax"
"Reer",-5.45560249978732e-05,"FX_liqudity"
"Companies advances",-5.342975666255e-05,"corporate_business_tax"
"unemployment rate",-5.33821558837926e-05,"labor"
"real salary",5.27805763066393e-05,"labor"
"madad meshulav",-5.1311155581642e-05,"real_activity"
"Cancellations Deductions",-4.29157031251295e-05,"corporate_business_tax"
"VAT Financial Institutions (Salary)",3.99563048338968e-05,"personal_labor_income_taxes"
"Real estate purchase tax",3.80174833762779e-05,"real_estate"
"Real estate taxation",3.75819593216021e-05,"real_estate"
"Non-profit institution tax",-3.57389833331027e-05,"personal_labor_income_taxes"
"tax differential companies",-3.29772565273322e-05,"corporate_business_tax"
"Self-employed tax differences",-3.13638494058537e-05,"personal_labor_income_taxes"
"Gross fuel tax",-3.03635240848458e-05,"consumption_tax"
"cons_trust",-2.85861845454235e-05,"real_activity"
"Total refunds from the Income Tax Department",-2.79232199889321e-05,"personal_labor_income_taxes"
"praise tax",2.71626564097501e-05,"real_estate"
"Foreign exchange reserves (millions of dollars)",-2.62542314198538e-05,"FX_liqudity"
"VAT refund autonomy and traders",2.40529533667858e-05,"consumption_tax"
"excess expenses",-2.31473543428096e-05,"corporate_business_tax"
"Net customs",-2.29821265119494e-05,"import_trade_tax"
"Gross import VAT",-2.22101219042316e-05,"import_trade_tax"
"Apartment Price Index (1993=100) - Mid-period reviewed",-2.15798603887821e-05,"real_estate"
"Oil",-2.01553690281491e-05,"real_activity"
"Bonds and dividends",-1.68735602326221e-05,"corporate_business_tax"
"Gross local VAT",-1.53265895146734e-05,"consumption_tax"
"Apartments sold at an annual rate",1.25933289376519e-05,"real_estate"
"Total net VAT",-1.25825868343239e-05,"consumption_tax"
"Property tax",-1.10985424542399e-05,"real_estate"
"Capital Gains Tax Refunds",-9.80455597601614e-06,"personal_labor_income_taxes"
"employment rate",9.42681732321934e-06,"labor"
"purchase returns",8.02911270050066e-06,"real_estate"
"Goods and services",3.33876326826521e-06,"corporate_business_tax"
"Net local sales tax",2.03119545254133e-06,"consumption_tax"
"Cancellation companies",-1.12632578691009e-06,"corporate_business_tax"
"Independent Cancellations",1.08475080103514e-06,"personal_labor_income_taxes"
"Total import taxes",-5.16975358077805e-07,"import_trade_tax"
